combined-id,all_correct
"2309.05569_1,3,5,6",FALSE
"2303.11932_1,5,9,10",FALSE
"2309.05569_0,1,3,9",FALSE
"2309.05569_0,1,4,5",FALSE
"2309.05569_2,5,6,7",FALSE
"2205.00048_0,4,5,6",FALSE
"2303.11932_3,7,12,13",FALSE
"2303.11932_2,6,10,13",FALSE
"2303.11932_1,7,8,11",FALSE
"2309.05569_2,3,5,6",FALSE
"2303.11932_2,4,8,14",FALSE
"2309.05569_2,3,4,9",FALSE
"2303.11932_1,4,5,11",FALSE
"2303.11932_1,9,10,13",FALSE
"2303.11932_1,4,10,13",FALSE
"2303.11932_0,7,9,11",FALSE
"2110.03485_0,1,2,4",FALSE
"2110.03485_1,2,3,4",FALSE
"2303.11932_5,6,12,13",FALSE
"2309.05569_0,1,3,4",FALSE
"2303.11932_0,3,5,12",FALSE
"2110.03485_0,2,3,4",FALSE
"2110.03485_0,1,2,3",FALSE
"2303.11932_3,4,7,12",FALSE
"2205.00048_0,1,2,3",FALSE
"2303.11932_0,6,13,14",FALSE
"2205.00048_1,3,4,6",FALSE
"2205.00048_0,1,2,4",FALSE
"2110.03485_0,1,3,4",FALSE
"2303.11932_6,7,10,14",FALSE
"2309.05569_3,5,6,7",FALSE
"2309.05569_0,1,2,9",FALSE
"2303.11932_1,4,5,12",FALSE
"2205.00048_3,5,6,7",
"2205.00048_0,2,5,7",
"2205.00048_0,3,6,7",
"2205.00048_0,2,3,7",
